Asset,Beta,Alpha,Sharpe,Sortino,Omega,ZScore,ATHDD,ADR
BTC,1.00,0.00,-0.10,-0.13,0.98,0.89,-62%,3.02%
ETH,1.16,0.08,0.31,0.41,1.05,1.08,-62%,2.91%
BNB,0.76,-0.06,0.07,0.09,1.01,-0.37,-58%,2.64%
XRP,0.75,0.20,0.73,1.13,1.12,1.76,-72%,4.77%
ADA,0.91,0.03,-0.59,-0.83,0.92,-0.62,-88%,3.45%
DOGE,1.03,-0.03,0.15,0.24,1.03,-0.70,-90%,3.47%
SOL,1.40,0.06,-0.30,-0.42,0.95,-0.66,-92%,5.14%
MATIC,1.24,-0.01,0.80,1.31,1.13,-0.40,-70%,4.03%
LTC,0.98,0.16,0.84,1.26,1.13,0.94,-76%,4.82%
TRX,0.57,0.19,0.13,0.16,1.02,2.33,-52%,3.65%
DOT,0.96,-0.00,-0.80,-1.21,0.89,-1.24,-91%,3.27%
SHIB,0.93,-0.06,-0.09,-0.15,0.98,-1.66,-89%,3.99%
AVAX,1.23,-0.03,-0.41,-0.60,0.94,-0.94,-90%,4.00%
LINK,1.00,-0.02,-0.02,-0.03,1.00,-1.33,-88%,3.26%
ATOM,1.07,0.03,0.46,0.71,1.07,-0.67,-76%,3.14%
UNI,1.12,0.01,0.25,0.40,1.04,-1.43,-89%,3.01%
XMR,0.77,-0.01,-0.38,-0.43,0.94,-0.61,-70%,2.90%
XLM,0.76,0.04,-0.79,-1.11,0.89,-0.79,-88%,2.57%
BCH,0.95,0.04,-0.63,-0.93,0.91,-0.80,-93%,2.66%
ICP,1.02,-0.15,-0.45,-0.70,0.94,-1.11,-100%,4.76%
LDO,1.68,0.40,1.21,2.24,1.21,0.64,-31%,6.57%
FIL,1.16,-0.04,-0.20,-0.29,0.97,-1.00,-98%,5.15%
APT,1.77,0.07,-0.25,-0.27,0.94,-0.29,-78%,6.15%
HBAR,0.93,-0.04,-0.70,-1.16,0.90,-1.14,-90%,3.40%
NEAR,1.29,-0.02,-1.28,-1.93,0.83,-1.12,-92%,4.71%
ARB,1.48,0.08,0.20,0.40,1.07,-0.92,-33%,6.25%
VET,0.98,0.01,-0.63,-0.87,0.92,-1.26,-92%,3.52%
QNT,0.87,0.11,1.10,1.83,1.18,-0.16,-71%,4.65%
APE,1.15,-0.05,-0.52,-0.72,0.93,-1.65,-87%,5.66%
ALGO,1.04,-0.13,-1.20,-1.63,0.84,-1.88,-95%,4.03%
GRT,1.27,0.06,0.08,0.14,1.01,0.24,-95%,6.98%
FTM,1.42,-0.18,0.22,0.34,1.03,-0.30,-91%,6.19%
SAND,1.23,0.08,-0.83,-1.24,0.88,-1.02,-93%,7.27%
EOS,0.89,-0.06,-0.32,-0.48,0.95,-1.32,-94%,4.20%
MANA,1.08,0.00,-0.70,-1.15,0.90,-1.01,-91%,5.71%
RPL,1.03,0.08,0.93,1.91,1.24,0.43,-20%,3.73%
EGLD,0.84,0.03,-0.81,-1.18,0.89,-1.29,-93%,3.42%
THETA,0.97,-0.10,-0.39,-0.59,0.95,-1.54,-94%,4.07%
AAVE,1.26,-0.01,-0.37,-0.53,0.95,-1.17,-90%,4.29%
