Asset,Beta,Alpha,Sharpe,Sortino,Omega,ZScore,ATHDD,ADR
BTC,1.00,0.00,-0.13,-0.17,0.98,1.16,-60%,2.74%
ETH,1.17,0.07,0.22,0.29,1.03,1.29,-61%,2.65%
BNB,0.75,-0.04,0.13,0.16,1.02,0.53,-53%,1.93%
XRP,0.75,0.13,0.61,0.96,1.10,1.84,-63%,3.83%
ADA,0.92,-0.01,-0.68,-0.95,0.91,-0.44,-88%,3.08%
DOGE,1.03,-0.04,0.17,0.28,1.03,-0.34,-83%,2.76%
SOL,1.41,0.00,-0.46,-0.63,0.93,-0.61,-92%,4.10%
MATIC,1.24,-0.02,0.76,1.23,1.12,-0.09,-69%,3.83%
LTC,0.98,0.13,0.81,1.22,1.13,1.32,-66%,4.12%
TRX,0.55,0.12,-0.05,-0.06,0.99,1.68,-40%,3.07%
DOT,0.97,-0.04,-0.90,-1.37,0.88,-1.07,-91%,2.83%
SHIB,0.93,-0.10,-0.13,-0.21,0.98,-1.36,-89%,3.62%
AVAX,1.24,-0.11,-0.53,-0.78,0.93,-0.95,-90%,3.49%
LINK,1.00,-0.03,0.08,0.11,1.01,-0.89,-82%,2.89%
ATOM,1.07,-0.02,0.34,0.52,1.05,-0.48,-76%,2.58%
UNI,1.12,-0.01,0.17,0.26,1.02,-1.16,-84%,2.72%
XMR,0.76,-0.00,-0.41,-0.47,0.94,-0.23,-54%,2.29%
XLM,0.76,0.02,-0.77,-1.07,0.89,-0.56,-79%,2.01%
BCH,0.95,0.02,-0.74,-1.10,0.90,-0.52,-86%,2.36%
ICP,1.01,-0.19,-0.47,-0.75,0.94,-0.83,-97%,4.16%
LDO,1.68,0.15,1.11,2.05,1.19,0.45,-35%,5.55%
FIL,1.15,-0.06,-0.19,-0.28,0.97,-0.64,-96%,3.64%
HBAR,0.93,-0.13,-0.68,-1.13,0.91,-0.98,-91%,2.94%
NEAR,1.30,-0.11,-1.39,-2.09,0.82,-1.08,-93%,3.82%
VET,0.98,-0.03,-0.62,-0.86,0.92,-0.84,-89%,2.99%
QNT,0.87,0.08,1.04,1.75,1.17,0.04,-71%,3.93%
APE,1.15,-0.16,-0.62,-0.87,0.91,-1.59,-87%,3.34%
ALGO,1.04,-0.13,-1.18,-1.60,0.84,-1.77,-94%,2.87%
GRT,1.26,0.10,0.27,0.47,1.04,0.84,-89%,6.28%
FTM,1.42,-0.20,0.13,0.20,1.02,-0.12,-91%,4.99%
SAND,1.23,0.04,-0.91,-1.36,0.87,-0.92,-93%,5.44%
EOS,0.89,-0.08,-0.36,-0.53,0.95,-1.12,-87%,3.55%
MANA,1.09,-0.06,-0.81,-1.33,0.89,-0.96,-92%,4.21%
EGLD,0.84,-0.09,-0.96,-1.41,0.87,-1.22,-93%,2.59%
THETA,0.97,-0.11,-0.44,-0.67,0.94,-1.27,-92%,3.66%
AAVE,1.26,-0.02,-0.44,-0.64,0.94,-0.95,-86%,3.65%
