asset,sharp,sortino,omega
BTC,-0.68,-1.18,0.73
ETH,0.25,0.47,1.13
BNB,-1.1,-1.82,0.6
XRP,1.12,1.9,1.7
ADA,-0.49,-0.88,0.8
DOGE,-0.95,-1.14,0.62
SOL,-0.44,-0.69,0.81
MATIC,-0.63,-0.96,0.73
LTC,0.62,0.85,1.35
TRX,1.34,3.28,1.83
DOT,-0.86,-1.26,0.67
SHIB,-1.59,-1.7,0.41
AVAX,-1.58,-2.14,0.48
LINK,-0.88,-1.23,0.67
ATOM,-0.51,-0.82,0.78
UNI,-0.52,-0.72,0.77
XMR,-0.84,-0.95,0.63
XLM,-0.25,-0.3,0.88
BCH,-0.27,-0.47,0.87
ICP,-1.61,-2.51,0.49
LDO,0.62,1.24,1.33
FIL,-0.54,-0.64,0.75
APT,-0.73,-1.0,0.7
HBAR,-1.84,-2.33,0.4
NEAR,-1.21,-1.99,0.59
ARB,-0.44,-0.63,0.81
VET,-0.67,-0.99,0.73
QNT,0.47,1.25,1.26
APE,-2.08,-2.81,0.38
ALGO,-1.69,-2.33,0.46
GRT,-0.04,-0.07,0.98
FTM,-1.61,-2.18,0.46
SAND,0.02,0.02,1.01
EOS,-1.17,-1.65,0.57
MANA,-0.66,-1.08,0.73
RPL,0.23,0.47,1.11
EGLD,-1.12,-1.57,0.57
THETA,-1.48,-1.9,0.49
AAVE,-0.64,-0.99,0.75
